rol_id,permiso_id
de62dd9d-fdb4-44ce-ac41-cbfdd7f348ad,daef770d-0409-4361-b8e3-1cbc749fcb32
de62dd9d-fdb4-44ce-ac41-cbfdd7f348ad,ddb15163-9aa1-45e6-a032-bd29cad07374
82e1a2fd-eb51-408d-86fe-44a180853f0e,ddb15163-9aa1-45e6-a032-bd29cad07374
82e1a2fd-eb51-408d-86fe-44a180853f0e,daef770d-0409-4361-b8e3-1cbc749fcb32
82e1a2fd-eb51-408d-86fe-44a180853f0e,44e34682-6f87-4e56-895c-26ba55a9f2bd
82e1a2fd-eb51-408d-86fe-44a180853f0e,a6c56e9b-a8a1-4eaa-a69b-c8ff9734fc99
82e1a2fd-eb51-408d-86fe-44a180853f0e,e817e7ee-f449-4c45-8be9-09ed6b749565
82e1a2fd-eb51-408d-86fe-44a180853f0e,e9c6110b-d2a9-4ef9-b9b8-0bad1d6d38f9
82e1a2fd-eb51-408d-86fe-44a180853f0e,d8b8e481-ec3e-45a9-a7ae-4fd3ee5cc1cd
82e1a2fd-eb51-408d-86fe-44a180853f0e,42b4f87d-dfcd-4094-9a00-845b3d8db15a
4adacacf-f41c-431e-b2df-429f9fc1d4b6,ddb15163-9aa1-45e6-a032-bd29cad07374
4adacacf-f41c-431e-b2df-429f9fc1d4b6,daef770d-0409-4361-b8e3-1cbc749fcb32
4adacacf-f41c-431e-b2df-429f9fc1d4b6,44e34682-6f87-4e56-895c-26ba55a9f2bd
4adacacf-f41c-431e-b2df-429f9fc1d4b6,a6c56e9b-a8a1-4eaa-a69b-c8ff9734fc99
4adacacf-f41c-431e-b2df-429f9fc1d4b6,e817e7ee-f449-4c45-8be9-09ed6b749565
4adacacf-f41c-431e-b2df-429f9fc1d4b6,e9c6110b-d2a9-4ef9-b9b8-0bad1d6d38f9
4adacacf-f41c-431e-b2df-429f9fc1d4b6,d8b8e481-ec3e-45a9-a7ae-4fd3ee5cc1cd
ec430664-fabf-481f-be1d-af53e187abc5,e817e7ee-f449-4c45-8be9-09ed6b749565
ec430664-fabf-481f-be1d-af53e187abc5,d8b8e481-ec3e-45a9-a7ae-4fd3ee5cc1cd
